"zone","value","timestep","severity","forest","km2","mortality","ecoregion"
1,3641,2002,"low",153160,11165.364,0.0237725254635675,"Coast Range"
4,446,2002,"low",17786,1296.5994,0.0250759023951422,"Cascades"
5,28041,2002,"low",590242,43028.6418,0.047507632462617,"Sierra Nevada"
6,4966,2002,"low",496857,36220.8753,0.00999482748557432,"California Chaparral and Oak Woodlands"
7,1,2002,"low",4950,360.855,0.000202020202020202,"Central California Valley"
8,3662,2002,"low",161224,11753.2296,0.0227137398898427,"Southern California Mountains"
9,10741,2002,"low",167063,12178.8927,0.0642931109820846,"Eastern Cascades Slopes and Foothills"
13,227,2002,"low",63622,4638.0438,0.00356794819402094,"Central Basin and Range"
14,0,2002,"low",63529,4631.2641,0,"Mojave Basin and Range"
78,5814,2002,"low",395085,28801.6965,0.0147158206461901,"Klamath Mountains"
80,560,2002,"low",24089,1756.0881,0.0232471252438873,"Northern Basin and Range"
81,5,2002,"low",3296,240.2784,0.00151699029126214,"Sonoran Basin and Range"
1,0,2002,"medium",153160,11165.364,0,"Coast Range"
4,20,2002,"medium",17786,1296.5994,0.00112447992803328,"Cascades"
5,387,2002,"medium",590242,43028.6418,0.000655663270319632,"Sierra Nevada"
6,7,2002,"medium",496857,36220.8753,1.40885606925131e-05,"California Chaparral and Oak Woodlands"
7,0,2002,"medium",4950,360.855,0,"Central California Valley"
8,0,2002,"medium",161224,11753.2296,0,"Southern California Mountains"
9,93,2002,"medium",167063,12178.8927,0.000556676223939472,"Eastern Cascades Slopes and Foothills"
13,84,2002,"medium",63622,4638.0438,0.00132029801012228,"Central Basin and Range"
14,0,2002,"medium",63529,4631.2641,0,"Mojave Basin and Range"
78,840,2002,"medium",395085,28801.6965,0.00212612475796348,"Klamath Mountains"
80,0,2002,"medium",24089,1756.0881,0,"Northern Basin and Range"
81,0,2002,"medium",3296,240.2784,0,"Sonoran Basin and Range"
1,0,2002,"high",153160,11165.364,0,"Coast Range"
4,119,2002,"high",17786,1296.5994,0.00669065557179804,"Cascades"
5,19,2002,"high",590242,43028.6418,3.21901863981214e-05,"Sierra Nevada"
6,0,2002,"high",496857,36220.8753,0,"California Chaparral and Oak Woodlands"
7,0,2002,"high",4950,360.855,0,"Central California Valley"
8,0,2002,"high",161224,11753.2296,0,"Southern California Mountains"
9,9,2002,"high",167063,12178.8927,5.38718926393037e-05,"Eastern Cascades Slopes and Foothills"
13,0,2002,"high",63622,4638.0438,0,"Central Basin and Range"
14,0,2002,"high",63529,4631.2641,0,"Mojave Basin and Range"
78,84,2002,"high",395085,28801.6965,0.000212612475796348,"Klamath Mountains"
80,0,2002,"high",24089,1756.0881,0,"Northern Basin and Range"
81,0,2002,"high",3296,240.2784,0,"Sonoran Basin and Range"
