"zone","value","timestep","severity","forest","mortality"
1,28,2002,"low",918960,3.04692260816575e-05
4,445,2002,"low",106716,0.0041699463997901
5,27014,2002,"low",3541452,0.00762794469613029
6,1073,2002,"low",2981142,0.000359929181501586
7,0,2002,"low",29700,0
8,3438,2002,"low",967344,0.00355406143006004
9,10345,2002,"low",1002378,0.0103204579509925
13,195,2002,"low",381732,0.000510829587249694
14,0,2002,"low",381174,0
78,5705,2002,"low",2370510,0.00240665510797255
80,551,2002,"low",144534,0.00381225178850651
81,5,2002,"low",19776,0.000252831715210356
1,0,2002,"medium",918960,0
4,20,2002,"medium",106716,0.000187413321338881
5,387,2002,"medium",3541452,0.000109277211719939
6,7,2002,"medium",2981142,2.34809344875219e-06
7,0,2002,"medium",29700,0
8,0,2002,"medium",967344,0
9,93,2002,"medium",1002378,9.27793706565787e-05
13,84,2002,"medium",381732,0.000220049668353714
14,0,2002,"medium",381174,0
78,840,2002,"medium",2370510,0.000354354126327246
80,0,2002,"medium",144534,0
81,0,2002,"medium",19776,0
1,0,2002,"high",918960,0
4,119,2002,"high",106716,0.00111510926196634
5,19,2002,"high",3541452,5.36503106635357e-06
6,0,2002,"high",2981142,0
7,0,2002,"high",29700,0
8,0,2002,"high",967344,0
9,9,2002,"high",1002378,8.97864877321729e-06
13,0,2002,"high",381732,0
14,0,2002,"high",381174,0
78,84,2002,"high",2370510,3.54354126327246e-05
80,0,2002,"high",144534,0
81,0,2002,"high",19776,0
