"zone","value","timestep","severity","forest","km2","mortality"
1,502,2010,"low",153160,11165.364,0.00327761817706973
4,851,2010,"low",17786,1296.5994,0.0478466209378163
5,25013,2010,"low",590242,43028.6418,0.0423775332829585
6,449,2010,"low",496857,36220.8753,0.000903680535848343
7,0,2010,"low",4950,360.855,0
8,800,2010,"low",161224,11753.2296,0.00496204039100878
9,4696,2010,"low",167063,12178.8927,0.0281091564260189
13,145,2010,"low",63622,4638.0438,0.00227908585080632
14,30,2010,"low",63529,4631.2641,0.000472225282941649
78,3392,2010,"low",395085,28801.6965,0.0085854942607287
80,131,2010,"low",24089,1756.0881,0.00543816679812362
81,0,2010,"low",3296,240.2784,0
1,10,2010,"medium",153160,11165.364,6.5291198746409e-05
4,105,2010,"medium",17786,1296.5994,0.00590351962217474
5,1124,2010,"medium",590242,43028.6418,0.0019043036584994
6,9,2010,"medium",496857,36220.8753,1.81138637475169e-05
7,0,2010,"medium",4950,360.855,0
8,169,2010,"medium",161224,11753.2296,0.00104823103260061
9,343,2010,"medium",167063,12178.8927,0.00205311768614235
13,42,2010,"medium",63622,4638.0438,0.000660149005061142
14,2,2010,"medium",63529,4631.2641,3.14816855294432e-05
78,676,2010,"medium",395085,28801.6965,0.00171102420998013
80,12,2010,"medium",24089,1756.0881,0.000498152683797584
81,0,2010,"medium",3296,240.2784,0
1,0,2010,"high",153160,11165.364,0
4,6,2010,"high",17786,1296.5994,0.000337343978409985
5,223,2010,"high",590242,43028.6418,0.000377811135093741
6,14,2010,"high",496857,36220.8753,2.81771213850263e-05
7,0,2010,"high",4950,360.855,0
8,16,2010,"high",161224,11753.2296,9.92408078201757e-05
9,316,2010,"high",167063,12178.8927,0.00189150200822444
13,10,2010,"high",63622,4638.0438,0.000157178334538367
14,0,2010,"high",63529,4631.2641,0
78,214,2010,"high",395085,28801.6965,0.000541655593100219
80,7,2010,"high",24089,1756.0881,0.000290589065548591
81,0,2010,"high",3296,240.2784,0
